"BehaviorSpace results (NetLogo 6.2.0)"
"cluster-geo.nlogo"
"baseline-run"
"06/30/2021 11:35:15:521 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-gui?","initial-density-ratio","Locality","InitialGeography","debug-setup","debug?","[step]","geral-house-price-mean"
"1","true","70","2","Random","none","false","28","4875.705076764536"
"4","true","70","2","Random","none","false","26","4530.211550190608"
"6","true","70","2","Gradient","none","false","81","2.9686285681553706"
"6","true","70","2","Gradient","none","false","82","2.969280331162468"
"4","true","70","2","Random","none","false","27","4530.449064474492"
"5","true","70","2","Random","none","false","5","4668.582477457161"
"6","true","70","2","Gradient","none","false","83","2.97004940434195"
"1","true","70","2","Random","none","false","29","4874.693807511351"
"6","true","70","2","Gradient","none","false","84","2.9706706956456657"
"6","true","70","2","Gradient","none","false","85","2.971450414165423"
"3","true","70","2","Random","none","false","12","4584.490334437275"
"6","true","70","2","Gradient","none","false","86","2.972152516058451"
"6","true","70","2","Gradient","none","false","87","2.9728851398073677"
"6","true","70","2","Gradient","none","false","88","2.973599921412817"
"4","true","70","2","Random","none","false","28","4530.760424842369"
"1","true","70","2","Random","none","false","30","4873.573472718905"
"6","true","70","2","Gradient","none","false","89","2.9743670114189293"
"1","true","70","2","Random","none","false","31","4872.632377778053"
"6","true","70","2","Gradient","none","false","90","2.9751442752476036"
"6","true","70","2","Gradient","none","false","91","2.9759291595897253"
"6","true","70","2","Gradient","none","false","92","2.9766767628883546"
"4","true","70","2","Random","none","false","29","4531.027224253344"
"2","true","70","2","Random","none","false","4","4747.302144585622"
"6","true","70","2","Gradient","none","false","93","2.977476860831465"
"1","true","70","2","Random","none","false","32","4871.8250634720125"
"6","true","70","2","Gradient","none","false","94","2.9781614440097237"
"3","true","70","2","Random","none","false","13","4584.910428245252"
"5","true","70","2","Random","none","false","6","4659.049099108799"
"1","true","70","2","Random","none","false","33","4871.100979847944"
"4","true","70","2","Random","none","false","30","4531.250266883801"
"6","true","70","2","Gradient","none","false","95","2.9789739070727594"
"6","true","70","2","Gradient","none","false","96","2.9797482744055914"
"4","true","70","2","Random","none","false","31","4531.523785680257"
"6","true","70","2","Gradient","none","false","97","2.9806564061254464"
"1","true","70","2","Random","none","false","34","4870.474297268739"
"4","true","70","2","Random","none","false","32","4531.814929713808"
"6","true","70","2","Gradient","none","false","98","2.9813727080405075"
"1","true","70","2","Random","none","false","35","4869.904925127383"
"6","true","70","2","Gradient","none","false","99","2.9822730589700575"
"4","true","70","2","Random","none","false","33","4532.161016308491"
"3","true","70","2","Random","none","false","14","4585.38159701558"
"6","true","70","2","Gradient","none","false","100","2.9830509004110333"
"1","true","70","2","Random","none","false","36","4869.583600578477"
"6","true","70","2","Gradient","none","false","101","2.98386249213333"
"6","true","70","2","Gradient","none","false","102","2.9847355478856423"
"4","true","70","2","Random","none","false","34","4532.453202155404"
"6","true","70","2","Gradient","none","false","103","2.9855678061327477"
"1","true","70","2","Random","none","false","37","4869.22225679431"
"4","true","70","2","Random","none","false","35","4532.729209649508"
"6","true","70","2","Gradient","none","false","104","2.986513071583908"
"3","true","70","2","Random","none","false","15","4585.768939122923"
"6","true","70","2","Gradient","none","false","105","2.9873944747812855"
"1","true","70","2","Random","none","false","38","4869.160512461184"
"4","true","70","2","Random","none","false","36","4533.041009836676"
"6","true","70","2","Gradient","none","false","106","2.9883075981369136"
"5","true","70","2","Random","none","false","7","4653.958748644557"
"4","true","70","2","Random","none","false","37","4533.3650259449105"
"6","true","70","2","Gradient","none","false","107","2.989168204105342"
"1","true","70","2","Random","none","false","39","4869.14436365953"
"6","true","70","2","Gradient","none","false","108","2.9900977947020775"
"6","true","70","2","Gradient","none","false","109","2.99101038632799"
"3","true","70","2","Random","none","false","16","4586.238736223086"
"6","true","70","2","Gradient","none","false","110","2.9918109916447944"
"4","true","70","2","Random","none","false","38","4533.596049567731"
"1","true","70","2","Random","none","false","40","4869.0534232359105"
"2","true","70","2","Random","none","false","5","4745.016209049532"
"6","true","70","2","Gradient","none","false","111","2.9927931830065306"
"4","true","70","2","Random","none","false","39","4533.8754836445405"
"1","true","70","2","Random","none","false","41","4869.32723848368"
"6","true","70","2","Gradient","none","false","112","2.9936734719469382"
"4","true","70","2","Random","none","false","40","4534.212365215367"
"6","true","70","2","Gradient","none","false","113","2.994675765780384"
"6","true","70","2","Gradient","none","false","114","2.9956048105484694"
"1","true","70","2","Random","none","false","42","4869.432093250626"
"3","true","70","2","Random","none","false","17","4586.708373428499"
"6","true","70","2","Gradient","none","false","115","2.996596558751681"
"4","true","70","2","Random","none","false","41","4534.524919187944"
"6","true","70","2","Gradient","none","false","116","2.9975449026794743"
"1","true","70","2","Random","none","false","43","4869.615103045943"
"4","true","70","2","Random","none","false","42","4534.821295304639"
"5","true","70","2","Random","none","false","8","4651.219272657559"
"6","true","70","2","Gradient","none","false","117","2.998560049329009"
"6","true","70","2","Gradient","none","false","118","2.999615164572358"
"1","true","70","2","Random","none","false","44","4869.920353151408"
"4","true","70","2","Random","none","false","43","4535.1563755662555"
"6","true","70","2","Gradient","none","false","119","3.0004987950714455"
"3","true","70","2","Random","none","false","18","4587.142480231294"
"1","true","70","2","Random","none","false","45","4870.4513738340065"
"6","true","70","2","Gradient","none","false","120","3.001539975789615"
"6","true","70","2","Gradient","none","false","121","3.0026009917108323"
"4","true","70","2","Random","none","false","44","4535.468482192437"
"6","true","70","2","Gradient","none","false","122","3.0036328714062615"
"1","true","70","2","Random","none","false","46","4871.044688169143"
"6","true","70","2","Gradient","none","false","123","3.0047476402470337"
"4","true","70","2","Random","none","false","45","4535.778814052679"
"6","true","70","2","Gradient","none","false","124","3.0056732442909704"
"3","true","70","2","Random","none","false","19","4587.5723904746865"
"4","true","70","2","Random","none","false","46","4536.0965170630725"
"6","true","70","2","Gradient","none","false","125","3.0067656345218983"
"6","true","70","2","Gradient","none","false","126","3.007810058246196"
"4","true","70","2","Random","none","false","47","4536.4727951724135"
"1","true","70","2","Random","none","false","47","4871.7203772731455"
"6","true","70","2","Gradient","none","false","127","3.00903563563809"
"2","true","70","2","Random","none","false","6","4744.00801586051"
"1","true","70","2","Random","none","false","48","4872.434344962846"
"5","true","70","2","Random","none","false","9","4649.77743405507"
"6","true","70","2","Gradient","none","false","128","3.0101042969387337"
"6","true","70","2","Gradient","none","false","129","3.011214596111174"
"4","true","70","2","Random","none","false","48","4536.878725522304"
"6","true","70","2","Gradient","none","false","130","3.0123732230603277"
"1","true","70","2","Random","none","false","49","4873.142677634478"
"4","true","70","2","Random","none","false","49","4537.210359143148"
"6","true","70","2","Gradient","none","false","131","3.013362577375187"
"3","true","70","2","Random","none","false","20","4588.0559993518655"
"6","true","70","2","Gradient","none","false","132","3.014498700062154"
"6","true","70","2","Gradient","none","false","133","3.015653851553187"
"1","true","70","2","Random","none","false","50","4873.76845434603"
"4","true","70","2","Random","none","false","50","4537.470379925891"
"6","true","70","2","Gradient","none","false","134","3.0169681945783227"
"6","true","70","2","Gradient","none","false","135","3.01803974943661"
"3","true","70","2","Random","none","false","21","4588.56204113862"
"4","true","70","2","Random","none","false","51","4537.777875861251"
"1","true","70","2","Random","none","false","51","4874.649927477972"
"4","true","70","2","Random","none","false","52","4538.189265781244"
"6","true","70","2","Gradient","none","false","136","3.019336752647187"
"6","true","70","2","Gradient","none","false","137","3.0204706907186236"
"6","true","70","2","Gradient","none","false","138","3.0216404023835666"
"1","true","70","2","Random","none","false","52","4875.486361794516"
"6","true","70","2","Gradient","none","false","139","3.0229459809856856"
"5","true","70","2","Random","none","false","10","4649.006482951056"
"4","true","70","2","Random","none","false","53","4538.5284803639415"
"1","true","70","2","Random","none","false","53","4876.720675322014"
"6","true","70","2","Gradient","none","false","140","3.024146496505359"
"4","true","70","2","Random","none","false","54","4538.853452928841"
"6","true","70","2","Gradient","none","false","141","3.025397125260932"
"1","true","70","2","Random","none","false","54","4877.75703172183"
"2","true","70","2","Random","none","false","7","4743.614789621494"
"4","true","70","2","Random","none","false","55","4539.302039194037"
"4","true","70","2","Random","none","false","56","4539.563024841045"
"6","true","70","2","Gradient","none","false","142","3.026619886899537"
"3","true","70","2","Random","none","false","22","4589.061077440337"
"4","true","70","2","Random","none","false","57","4539.971731164735"
"4","true","70","2","Random","none","false","58","4540.408525210942"
"6","true","70","2","Gradient","none","false","143","3.028016459801989"
"1","true","70","2","Random","none","false","55","4878.750564811442"
"6","true","70","2","Gradient","none","false","144","3.0291849945816267"
"4","true","70","2","Random","none","false","59","4540.713193735067"
"4","true","70","2","Random","none","false","60","4541.076541051146"
"3","true","70","2","Random","none","false","23","4589.500700354629"
"4","true","70","2","Random","none","false","61","4541.460582172824"
"1","true","70","2","Random","none","false","56","4880.010092179126"
"4","true","70","2","Random","none","false","62","4541.7981033915485"
"5","true","70","2","Random","none","false","11","4648.602041943029"
"6","true","70","2","Gradient","none","false","145","3.0305696833210782"
"1","true","70","2","Random","none","false","57","4881.3616119998105"
"4","true","70","2","Random","none","false","63","4542.27122129047"
"6","true","70","2","Gradient","none","false","146","3.0318879901379208"
"6","true","70","2","Gradient","none","false","147","3.033169214174497"
"1","true","70","2","Random","none","false","58","4882.734539781653"
"6","true","70","2","Gradient","none","false","148","3.0345095363264485"
"6","true","70","2","Gradient","none","false","149","3.035822546873709"
"4","true","70","2","Random","none","false","64","4542.71364741849"
"3","true","70","2","Random","none","false","24","4589.9339101417645"
"4","true","70","2","Random","none","false","65","4543.072120591698"
"1","true","70","2","Random","none","false","59","4883.992713974364"
"6","true","70","2","Gradient","none","false","150","3.037272747027754"
"5","true","70","2","Random","none","false","12","4648.39833871016"
"6","true","70","2","Gradient","none","false","151","3.0386103925277506"
"4","true","70","2","Random","none","false","66","4543.41304788916"
"6","true","70","2","Gradient","none","false","152","3.0399639732831143"
"6","true","70","2","Gradient","none","false","153","3.0415034242516947"
"1","true","70","2","Random","none","false","60","4885.598896533699"
"4","true","70","2","Random","none","false","67","4543.8399018320015"
"1","true","70","2","Random","none","false","61","4886.941926567447"
"3","true","70","2","Random","none","false","25","4590.487904856122"
"6","true","70","2","Gradient","none","false","154","3.0427539645993784"
"4","true","70","2","Random","none","false","68","4544.217857339442"
"6","true","70","2","Gradient","none","false","155","3.0442761977440416"
"2","true","70","2","Random","none","false","8","4743.464400887057"
"4","true","70","2","Random","none","false","69","4544.616741017402"
"5","true","70","2","Random","none","false","13","4648.308181549641"
"6","true","70","2","Gradient","none","false","156","3.0457303609888107"
"4","true","70","2","Random","none","false","70","4544.986136217268"
"6","true","70","2","Gradient","none","false","157","3.0472454104712874"
"1","true","70","2","Random","none","false","62","4888.402977902103"
"6","true","70","2","Gradient","none","false","158","3.0487239721901904"
"1","true","70","2","Random","none","false","63","4890.077457286628"
"6","true","70","2","Gradient","none","false","159","3.0502748471575503"
"6","true","70","2","Gradient","none","false","160","3.05164062852131"
"1","true","70","2","Random","none","false","64","4891.930888556053"
"3","true","70","2","Random","none","false","26","4590.960408698718"
"5","true","70","2","Random","none","false","14","4648.277728100953"
"1","true","70","2","Random","none","false","65","4893.7176986568065"
"6","true","70","2","Gradient","none","false","161","3.053160447241922"
"1","true","70","2","Random","none","false","66","4895.354503874965"
"2","true","70","2","Random","none","false","9","4743.432889454529"
"4","true","70","2","Random","none","false","71","4545.405246444792"
"6","true","70","2","Gradient","none","false","162","3.0548532411983893"
"1","true","70","2","Random","none","false","67","4897.040088752205"
"3","true","70","2","Random","none","false","27","4591.430099380503"
"5","true","70","2","Random","none","false","15","4648.276950246662"
"6","true","70","2","Gradient","none","false","163","3.056313069646574"
"4","true","70","2","Random","none","false","72","4545.90815112153"
"6","true","70","2","Gradient","none","false","164","3.0578819093962926"
"1","true","70","2","Random","none","false","68","4898.988643868723"
"1","true","70","2","Random","none","false","69","4900.8652860866705"
"3","true","70","2","Random","none","false","28","4591.967614186364"
"5","true","70","2","Random","none","false","16","4648.300915957714"
"6","true","70","2","Gradient","none","false","165","3.059469701822808"
"4","true","70","2","Random","none","false","73","4546.306392529391"
"6","true","70","2","Gradient","none","false","166","3.0610737723228816"
"2","true","70","2","Random","none","false","10","4743.45736553697"
"4","true","70","2","Random","none","false","74","4546.786345919701"
"6","true","70","2","Gradient","none","false","167","3.0625919243460697"
"1","true","70","2","Random","none","false","70","4902.795349821963"
"1","true","70","2","Random","none","false","71","4904.675509653277"
"6","true","70","2","Gradient","none","false","168","3.064430699512598"
"3","true","70","2","Random","none","false","29","4592.494876060421"
"4","true","70","2","Random","none","false","75","4547.13027916741"
"6","true","70","2","Gradient","none","false","169","3.0658818493165736"
"5","true","70","2","Random","none","false","17","4648.342464364923"
"1","true","70","2","Random","none","false","72","4906.65674425466"
"1","true","70","2","Random","none","false","73","4908.780150086462"
"6","true","70","2","Gradient","none","false","170","3.067542812253357"
"4","true","70","2","Random","none","false","76","4547.714835332928"
"6","true","70","2","Gradient","none","false","171","3.06932950905581"
"3","true","70","2","Random","none","false","30","4592.98709193102"
"1","true","70","2","Random","none","false","74","4910.985308441727"
"6","true","70","2","Gradient","none","false","172","3.071096338442075"
"6","true","70","2","Gradient","none","false","173","3.072709165258661"
"4","true","70","2","Random","none","false","77","4548.031546336041"
"6","true","70","2","Gradient","none","false","174","3.0744349650593454"
"3","true","70","2","Random","none","false","31","4593.49635484282"
"1","true","70","2","Random","none","false","75","4913.281358568591"
"4","true","70","2","Random","none","false","78","4548.569277331189"
"6","true","70","2","Gradient","none","false","175","3.0761422437088215"
"5","true","70","2","Random","none","false","18","4648.372803711286"
"1","true","70","2","Random","none","false","76","4915.617063755204"
"3","true","70","2","Random","none","false","32","4593.989428087343"
"2","true","70","2","Random","none","false","11","4743.515472643368"
"6","true","70","2","Gradient","none","false","176","3.078136258498881"
"4","true","70","2","Random","none","false","79","4548.933907326157"
"6","true","70","2","Gradient","none","false","177","3.079936277418445"
"1","true","70","2","Random","none","false","77","4917.833849901802"
"3","true","70","2","Random","none","false","33","4594.510609305717"
"6","true","70","2","Gradient","none","false","178","3.081511160707712"
"1","true","70","2","Random","none","false","78","4920.114466156831"
"6","true","70","2","Gradient","none","false","179","3.0835538169285246"
"4","true","70","2","Random","none","false","80","4549.369747667205"
"1","true","70","2","Random","none","false","79","4922.469936669083"
"3","true","70","2","Random","none","false","34","4595.053818413586"
"6","true","70","2","Gradient","none","false","180","3.0852974469844354"
"6","true","70","2","Gradient","none","false","181","3.0871515868832238"
"4","true","70","2","Random","none","false","81","4549.968252022244"
"6","true","70","2","Gradient","none","false","182","3.089083187293637"
"1","true","70","2","Random","none","false","80","4924.819948974275"
"3","true","70","2","Random","none","false","35","4595.61454879897"
"6","true","70","2","Gradient","none","false","183","3.0908748076791013"
"4","true","70","2","Random","none","false","82","4550.391767898594"
"1","true","70","2","Random","none","false","81","4927.375853759762"
"5","true","70","2","Random","none","false","19","4648.422737320202"
"6","true","70","2","Gradient","none","false","184","3.0929069993285556"
"6","true","70","2","Gradient","none","false","185","3.094847837365571"
"3","true","70","2","Random","none","false","36","4596.154071029664"
"4","true","70","2","Random","none","false","83","4550.828784316737"
"1","true","70","2","Random","none","false","82","4929.847778177486"
"6","true","70","2","Gradient","none","false","186","3.0966864587933234"
"6","true","70","2","Gradient","none","false","187","3.0988459918343456"
"4","true","70","2","Random","none","false","84","4551.280461190011"
"3","true","70","2","Random","none","false","37","4596.703681365048"
"6","true","70","2","Gradient","none","false","188","3.1006587066114046"
"6","true","70","2","Gradient","none","false","189","3.102600774998382"
"1","true","70","2","Random","none","false","83","4932.285522417439"
"4","true","70","2","Random","none","false","85","4551.829686715677"
"6","true","70","2","Gradient","none","false","190","3.1046965111488363"
"6","true","70","2","Gradient","none","false","191","3.1068276221298357"
"3","true","70","2","Random","none","false","38","4597.2706707361"
"4","true","70","2","Random","none","false","86","4552.29393328755"
"6","true","70","2","Gradient","none","false","192","3.10890095324882"
"1","true","70","2","Random","none","false","84","4934.969667100753"
"2","true","70","2","Random","none","false","12","4743.569978543529"
"6","true","70","2","Gradient","none","false","193","3.1108744211947967"
"4","true","70","2","Random","none","false","87","4552.732138973134"
"6","true","70","2","Gradient","none","false","194","3.1129848729973575"
"1","true","70","2","Random","none","false","85","4937.7025906705385"
"4","true","70","2","Random","none","false","88","4553.305274337661"
"6","true","70","2","Gradient","none","false","195","3.1153246908154384"
"4","true","70","2","Random","none","false","89","4553.760713511394"
"1","true","70","2","Random","none","false","86","4940.478992755484"
"5","true","70","2","Random","none","false","20","4648.457918044869"
"6","true","70","2","Gradient","none","false","196","3.117500333281218"
"3","true","70","2","Random","none","false","39","4597.776315172875"
"6","true","70","2","Gradient","none","false","197","3.1196096830885836"
"4","true","70","2","Random","none","false","90","4554.316105496326"
"6","true","70","2","Gradient","none","false","198","3.121951135989363"
"6","true","70","2","Gradient","none","false","199","3.1240477014531858"
"4","true","70","2","Random","none","false","91","4554.779631779215"
"6","true","70","2","Gradient","none","false","200","3.1261506108566643"
"6","true","70","2","Gradient","none","false","201","3.1285562043276967"
"6","true","70","2","Gradient","none","false","202","3.1310085462265227"
"1","true","70","2","Random","none","false","87","4943.330891012803"
"3","true","70","2","Random","none","false","40","4598.367551044814"
"4","true","70","2","Random","none","false","92","4555.263402243806"
"1","true","70","2","Random","none","false","88","4945.973702663118"
"6","true","70","2","Gradient","none","false","203","3.133108921435823"
"1","true","70","2","Random","none","false","89","4948.833879669678"
"5","true","70","2","Random","none","false","21","4648.4991125294255"
"2","true","70","2","Random","none","false","13","4743.63690290106"
"3","true","70","2","Random","none","false","41","4598.961389451802"
"6","true","70","2","Gradient","none","false","204","3.1354405587266334"
"1","true","70","2","Random","none","false","90","4951.812778427312"
"6","true","70","2","Gradient","none","false","205","3.137874303203352"
"4","true","70","2","Random","none","false","93","4555.754410163868"
"6","true","70","2","Gradient","none","false","206","3.1404342663967415"
"1","true","70","2","Random","none","false","91","4954.668789239094"
"5","true","70","2","Random","none","false","22","4648.550474422733"
"6","true","70","2","Gradient","none","false","207","3.14276293758478"
"4","true","70","2","Random","none","false","94","4556.349403123805"
"1","true","70","2","Random","none","false","92","4957.7698173979525"
