,Inflation,gIh,Own Interest rate,Interest rate
1998-12-31,0.01592119392518243,0.03690682408129709,0.06267551279568177,0.0683
1999-03-31,0.016221754840101132,0.013950212857400274,0.06437877362210595,0.0698
1999-06-30,0.01867988409981014,0.029420277758840995,0.07009422850243599,0.07629999999999999
1999-09-30,0.019681388637097452,0.017006557978764148,0.07045231787627577,0.0776
1999-12-31,0.020251767687088806,0.016304041290731694,0.07403237973700998,0.0806
2000-03-31,0.022804206309464226,0.023929666389328436,0.0725303700088977,0.0823
2000-06-30,0.022481811861701617,0.0049846803716664,0.07289050804940575,0.08220000000000001
2000-09-30,0.02024458213228897,-0.007067418976431915,0.07134997285800437,0.0788
2000-12-31,0.024414053333583707,0.010117115769562722,0.054417892310343434,0.0713
2001-03-31,0.018041378804815933,0.01959573669858853,0.06064131677100986,0.0691
2001-06-30,0.015192562124798581,0.03206576620576284,0.06785424308928287,0.0711
2001-09-30,0.01787313267432067,0.024348223046261504,0.05821548273358907,0.0672
2001-12-31,0.014293055543458166,-0.00072918279149868,0.06999752330834776,0.0716
2002-03-31,0.019201044207055373,0.035060099482928916,0.06274844706493787,0.0718
2002-06-30,0.02632111081153954,0.03441790992431882,0.044091150025445086,0.0655
2002-09-30,0.02434899681476388,0.007471102936875428,0.03955949703946025,0.0599
2002-12-31,0.022784465210213156,0.039643881610881615,0.04084951097281745,0.0593
2003-03-31,0.019792980779025804,0.04651929404133157,0.044581343060342296,0.0591
2003-06-30,0.01922441546866227,0.018807198834608862,0.0367988736904116,0.0524
2003-09-30,0.02747099488122795,0.0830264890208777,0.035425631273047445,0.059800000000000006
2003-12-31,0.028519439736450325,0.05773088402828752,0.03253149609220936,0.058499999999999996
2004-03-31,0.034805250392352605,0.03839615107846493,0.019887382107260983,0.054000000000000006
2004-06-30,0.03300725911525637,0.06381864923025418,0.03179082104025074,0.0625
2004-09-30,0.02889614073021196,0.030522728519573897,0.03051045997169228,0.0572
2004-12-31,0.03342262464569923,0.03322978469809281,0.02612305884247671,0.0581
2005-03-31,0.04068285947404737,0.04236576835390154,0.020343725740602534,0.0604
2005-06-30,0.03243432320941775,0.039909242332860494,0.02407016812478639,0.0553
2005-09-30,0.030650154798761653,0.043434807679423815,0.030626645378565555,0.0591
2005-12-31,0.025351825297414976,0.017768208840181297,0.04115522321498002,0.0622
2006-03-31,0.019086838759604152,0.006926399617773733,0.05138591374971013,0.0635
2006-06-30,-0.0046430140537959685,-0.03549259207888191,0.09600891103553692,0.0678
2006-09-30,-0.003847264682001361,-0.04316510290631956,0.08676582518752093,0.06309999999999999
2006-12-31,0.00733037565440009,-0.034407822322421705,0.06637051879670341,0.061799999999999994
2007-03-31,4.8875589901298255e-05,-0.03482599433516727,0.07774749343681508,0.0616
2007-06-30,-0.02114580505023067,-0.03619587491212746,0.12643486179975413,0.0667
2007-09-30,-0.014945410971063389,-0.05071642054240385,0.1091391657829485,0.0642
2007-12-31,-0.018134510762437883,-0.06195931765420695,0.11086010549205336,0.0617
2008-03-31,-0.024601071457250767,-0.062442002888563566,0.11792725065216571,0.058499999999999996
2008-06-30,-0.029596655160449847,-0.04126373366741954,0.1405078718146834,0.0645
2008-09-30,-0.028535935038177307,-0.0478421024444573,0.13087860624965095,0.060899999999999996
2008-12-31,-0.04176257399679362,-0.07577613309813472,0.14018632095900327,0.051
2009-03-31,-0.03226877408603279,-0.07303786604095225,0.1147501111999822,0.048499999999999995
2009-06-30,-0.0038410052536341777,-0.05696150325891381,0.07267614441871237,0.0542
2009-09-30,-0.0004591864296903392,0.045497402907088993,0.06169454652205048,0.0504
2009-12-31,-0.000608025942440138,0.0054683091606717174,0.06337807305036809,0.051399999999999994
2010-03-31,-0.014006624754951624,-0.027501554162838074,0.08291026878784458,0.0499
2010-06-30,-0.000966693633533966,0.05273077991834694,0.05743695695281508,0.046900000000000004
2010-09-30,-0.018563379701750815,-0.06530272957684263,0.07991977074779787,0.0432
2010-12-31,-0.0066497916258775325,0.024248382773046258,0.06867513131840264,0.048600000000000004
2011-03-31,-0.014613440705049219,-0.0014060918910268852,0.08185185001784212,0.048600000000000004
2011-06-30,-0.0009072400614351661,0.015860791865807158,0.05481012324559959,0.0451
2011-09-30,-0.008522930400835182,0.01951430005811951,0.05904348109670466,0.0401
2011-12-31,-0.014365453680065698,0.029105122546610376,0.06722789937254997,0.0395
2012-03-31,0.009006833779650947,0.07327816034944018,0.03436098195492701,0.039900000000000005
2012-06-30,0.022653275805808226,0.013109480164901974,0.014353482224032054,0.0366
2012-09-30,0.013323500840252578,0.039255840018498106,0.02203056805919679,0.034
2012-12-31,0.018172530579113833,0.07952015385886146,0.015928640668800727,0.0335
2013-03-31,0.03063124978523102,0.06389714972547306,0.00500943489153813,0.035699999999999996
2013-06-30,0.028287166082073822,0.05412368867852504,0.016837225407131805,0.0446
2013-09-30,0.026134211823299003,0.03523913948515155,0.017702457593298568,0.0432
2013-12-31,0.0174741206061908,0.0030686993213243402,0.029713329677919273,0.044800000000000006
2014-03-31,0.013055981714171994,0.014957900785761157,0.03427058184679659,0.044000000000000004
2014-06-30,0.005922710467747061,0.03924802237258142,0.04028675010323461,0.0414
2014-09-30,0.011233215698464694,0.03698082183958891,0.03412013645659755,0.042
2014-12-31,0.013019106744620368,0.043107164861956614,0.02788786499775217,0.0387
2015-03-31,0.01051942642946413,0.028896385293264482,0.028800808431896825,0.0369
2015-06-30,0.00963270881663747,0.0336077060651272,0.03393338830638607,0.04019999999999999
2015-09-30,0.013774683042326652,0.041191727559390746,0.026850793572218316,0.038599999999999995
2015-12-31,0.01575047746151559,0.02612638171831634,0.02623365440046945,0.0401
2016-03-31,0.009321870717093006,0.04409660395652872,0.03052591774503743,0.0371
2016-06-30,0.010677813937829628,0.009094697562133979,0.02610882601810495,0.0348
