,Labor Freedom,Financial Freedom,Business Freedom,Financial Freedom,BCA_NGDPD,GGXCNL_NGDP,LUR,NGDPRPPPPCPCH,NGDP_RPCH,PCPIEPCH,PCPIPCH,PPPGDP
KGZ,0.779,0.5,0.733,0.5,-12.052,-0.59,6.605,1.532,3.459,0.486,1.543,24.539
LAO,0.55,0.2,0.654,0.2,-11.974,-4.663,,4.675,6.308,1.482,2.039,53.623
LVA,0.725,0.6,0.8009999999999999,0.6,-0.681,-0.74,7.415,5.133,4.285,2.549,2.554,57.199
LBN,0.442,0.5,0.488,0.5,-26.708,-11.287,,-2.499,-1.926,5.553,4.551,88.615
LSO,0.589,0.4,0.529,0.4,-1.232,-4.444,,-0.292,0.381,5.238,4.747,6.713
LBR,0.595,0.2,0.531,0.2,-22.381,-5.099,,-1.294,1.242,28.525,23.547,6.33
LBY,0.45899999999999996,,0.635,,1.789,-0.194,,16.713,17.879,-1.196,-1.196,74.719
LTU,0.645,0.7,0.7340000000000001,0.7,0.29,0.662,6.146,4.638,3.644,1.758,2.531,97.436
LUX,0.462,0.8,0.6920000000000001,0.8,4.756,2.664,5.1,1.169,3.111,1.884,2.013,66.125
MAC,0.5,0.7,0.6,0.7,34.602,14.155,1.8,3.183,5.442,2.944,3.004,78.143
MDG,0.415,0.5,0.456,0.5,0.711,-1.329,,1.893,4.565,6.943,8.598,49.6
MWI,0.599,0.5,0.47700000000000004,0.5,-20.526,-5.503,,0.282,3.17,9.892,9.215,23.661
MYS,0.758,0.5,0.8390000000000001,0.5,2.114,-3.308,3.325,3.578,4.741,0.165,0.969,"1,014.02"
MDV,0.706,0.3,0.7859999999999999,0.3,-26.399,-5.232,,5.124,6.889,0.54,1.367,7.883
MLI,0.484,0.4,0.528,0.4,-4.928,-4.77,,2.073,5.177,0.953,1.734,44.337
MLT,0.611,0.6,0.64,0.6,10.421,1.905,3.667,3.839,7.314,1.239,1.741,21.658
MRT,0.5920000000000001,0.4,0.642,0.4,-13.843,3.421,,-0.157,2.115,3.154,3.053,23.635
MUS,0.6679999999999999,0.7,0.775,0.7,-5.78,-2.344,6.9,3.681,3.761,1.76,3.231,30.006
MEX,0.598,0.6,0.675,0.6,-1.884,-2.201,3.33,0.992,2.136,4.831,4.898,"2,575.21"
FSM,0.674,0.3,0.5760000000000001,0.3,21.04,24.986,,0.151,0.212,1.49,1.49,0.352
MDA,0.39899999999999997,0.5,0.66,0.5,-10.712,-1.057,3.022,5.891,4.002,0.9,3.059,25.897
MNG,0.7559999999999999,0.6,0.67,0.6,-16.797,2.93,7.8,5.24,7.247,8.209,6.828,43.695
MNE,0.7090000000000001,0.5,0.7290000000000001,0.5,-17.001,-6.541,,5.112,5.078,1.652,2.604,11.96
MAR,0.36,0.7,0.696,0.7,-5.273,-3.736,9.8,1.914,2.99,0.146,1.854,314.709
MOZ,0.37799999999999995,0.5,0.58,0.5,-30.887,-6.906,,0.697,3.428,3.524,3.911,42.994
NAM,0.855,0.4,0.675,0.4,-2.732,-5.314,,0.299,0.342,5.15,4.294,26.673
