Case,OECD,Government Size,Regulatory Efficiency,Open Markets,Rule of Law,Growth,Public Debt/GDP,Primary Outcome/GDP,CA Balance/GDP,Capital Acc/GDP,Rating
ALB_2010,FALSE,70.3,66.2666666666667,75.2666666666667,40.7333333333333,1.48125840201693,0.999456192362383,,-0.116980064482449,0.0201159359496307,0.35
ALB_2011,FALSE,70.3,65.8,71.6,40.7333333333333,0.972569188163152,1.03089803273247,,-0.119572129382937,0.0230496260850874,0.3
ALB_2012,FALSE,70.3,69.2666666666667,71.6,40.7333333333333,0.890450180453275,1.03789485259576,,-0.0927307420862903,0.0190756844106506,0.3
ALB_2013,FALSE,70.3,69.4666666666667,71.6,40.7333333333333,0.420047327416633,1.20341714544008,,-0.061460897526186,0.0225493612357759,0.3
ALB_2014,FALSE,70.3,69.2666666666667,77.5,40.7333333333333,0.922608221436263,1.22105690182547,,-0.0704134414515786,0.00830653306701205,0.3
ALB_2015,FALSE,70.3,68.1,75.9333333333333,40.7333333333333,0.91375568807572,1.22637278898258,,-0.0772802381510148,0.0100250138663752,0.35
ALB_2016,FALSE,70.3,66.9333333333333,75.8666666666667,40.7333333333333,0.872580042471041,1.27069769772726,,-0.0673326490062203,0.0252472271543361,0.35
ALB_2017,FALSE,70.3,70.4666666666667,75.9,40.7333333333333,1.13464661738582,1.27069769772726,,-0.0650324479245922,0.0378483392133768,0.35
ALB_2018,FALSE,75.1,67.3,75.9333333333333,39.8,1.16122293395,1.18002498270375,,-0.0604514247491048,0.0227441565533186,0.35
ALB_2019,FALSE,80.2666666666667,67.8333333333333,75.9333333333333,41.9333333333333,0.809584120004997,1.18002498270375,,-0.0601129821880852,0.0126796328310466,0.35
ALB_2020,FALSE,82.2666666666667,66.3333333333334,76.1333333333333,42.9666666666667,0,1.18002498270375,,-0.0546168666929352,0.0232748887590689,0.35
ALB_2021,FALSE,83.4,66.5666666666667,74.2666666666667,36.5,0,1.22536664497642,,-0.0580935624731678,0.0255052552885442,0.35
