ISO3,TE,Rule_of_Law,Government_Size,Regulatory_Efficiency,Open_Markets,GDPgrowth,CurrentAccountBal/GDP
IDN,0.6,0.45766666666666667,0.8793333333333334,0.6306666666666666,0.6016666666666667,4.876,-2.035
IND,0.57,0.523,0.5676666666666668,0.5803333333333334,0.508,8.155,-1.051
JAM,0.33,0.523,0.789,0.7839999999999999,0.6693333333333333,0.85,-3.2060000000000004
JOR,0.36,0.556,0.6316666666666667,0.702,0.7066666666666667,2.383,-9.078
KAZ,0.56,0.529,0.884,0.7643333333333334,0.5853333333333333,1.2,-2.785
KEN,0.33,0.39799999999999996,0.5670000000000001,0.6413333333333334,0.5826666666666667,5.718,-6.693
KGZ,0.3,0.339,0.8039999999999999,0.7536666666666667,0.615,3.8760000000000003,-16.000999999999998
KHM,0.3,0.26066666666666666,0.8946666666666666,0.56,0.6343333333333333,7.0360000000000005,-8.988999999999999
KWT,0.88,0.4736666666666667,0.725,0.6413333333333333,0.6469999999999999,-1.004,3.5039999999999996
LAO,0.25,0.36200000000000004,0.754,0.6546666666666667,0.37200000000000005,7.27,-17.986
LBN,0.11,0.3116666666666667,0.5670000000000001,0.5830000000000001,0.665,0.243,-18.317999999999998
LKA,0.28,0.4306666666666667,0.6636666666666667,0.701,0.515,5.008,-2.339
LSO,0.35,0.45,0.5416666666666666,0.62,0.545,2.4859999999999998,-3.949
LTU,0.75,0.638,0.8233333333333334,0.7593333333333333,0.7896666666666666,2.035,-2.805
MAC,0.87,0.5213333333333333,0.8876666666666667,0.612,0.8166666666666668,-21.594,25.26
MAR,0.53,0.46466666666666656,0.672,0.6263333333333333,0.7146666666666667,4.55,-2.14
MDA,0.25,0.3546666666666667,0.7733333333333333,0.597,0.611,-0.4,-4.89
MDV,0.3,0.4013333333333333,0.4883333333333333,0.775,0.37799999999999995,2.246,-7.382999999999999
MKD,0.45,0.564,0.7999999999999998,0.779,0.7093333333333334,3.8560000000000003,-1.952
MLT,0.75,0.6026666666666666,0.6856666666666666,0.6796666666666665,0.773,9.521,4.455
MNE,0.35,0.47866666666666663,0.6333333333333333,0.7623333333333334,0.699,3.39,-10.978
MNG,0.28,0.389,0.4976666666666667,0.7389999999999999,0.6030000000000001,2.38,-3.992
MOZ,0.14,0.33299999999999996,0.43766666666666665,0.5416666666666666,0.539,6.593999999999999,-40.328
MUS,0.65,0.6346666666666667,0.8180000000000001,0.7573333333333334,0.7956666666666666,3.553,-4.8069999999999995
MYS,0.7,0.6793333333333332,0.8253333333333334,0.8176666666666667,0.658,5.092,3.034
NAM,0.45,0.5206666666666667,0.433,0.7593333333333333,0.6276666666666667,6.107,-12.399000000000001
NGA,0.3,0.3066666666666667,0.872,0.6589999999999999,0.5016666666666666,2.653,-3.1919999999999997
NIC,0.26,0.24333333333333332,0.84,0.6349999999999999,0.6366666666666667,4.769,-9.079
OMN,0.43,0.5613333333333332,0.4706666666666666,0.7023333333333334,0.7040000000000001,4.658,-15.898
PAK,0.25,0.32433333333333336,0.7356666666666666,0.5786666666666667,0.5363333333333333,4.058,-1.001
PAN,0.63,0.4303333333333333,0.8506666666666666,0.658,0.7426666666666666,5.78,-7.869
PER,0.65,0.42333333333333334,0.8696666666666667,0.7156666666666668,0.7403333333333334,3.307,-4.785
PHL,0.61,0.39200000000000007,0.8863333333333333,0.6549999999999999,0.669,6.067,2.4819999999999998
PNG,0.3,0.4206666666666667,0.6833333333333332,0.6536666666666667,0.4696666666666667,5.2989999999999995,12.013
PRY,0.46,0.316,0.918,0.5483333333333333,0.7036666666666666,3.08,-0.833
QAT,0.85,0.6723333333333333,0.8506666666666667,0.7056666666666667,0.6776666666666666,3.658,8.502
ROU,0.55,0.5356666666666666,0.8176666666666667,0.7159999999999999,0.7063333333333334,3.872,-1.2309999999999999
RUS,0.55,0.4456666666666667,0.7866666666666667,0.6326666666666667,0.46466666666666673,-2.5,4.945
RWA,0.31,0.702,0.786,0.7090000000000001,0.569,8.873,-14.485
SAU,0.75,0.544,0.5713333333333334,0.7086666666666667,0.5606666666666666,4.106,-8.67
SEN,0.37,0.4143333333333333,0.6653333333333333,0.592,0.5556666666666666,6.367000000000001,-5.4110000000000005
SGP,0.98,0.935,0.8700000000000001,0.8956666666666666,0.85,2.241,18.578
SLB,0.25,0.47833333333333333,0.6696666666666667,0.751,0.399,2.542,-3.042
SLV,0.25,0.3263333333333333,0.8123333333333335,0.6363333333333334,0.7546666666666667,2.378,-3.23
SRB,0.46,0.4363333333333333,0.637,0.7346666666666667,0.6913333333333332,0.758,-4.711
SUR,0.23,0.33666666666666667,0.5316666666666667,0.5743333333333333,0.48266666666666674,-2.5989999999999998,-16.295
