,ESP,BRA,LUX,GER,AUS
2020-03-01,24731.33219178082,57214,399.375,48187.291666666664,6593.583333333333
2020-03-02,29244.37328767123,67074,521.1666666666666,61184.416666666664,7923.958333333333
2020-03-03,30367.307077625574,68781,549.75,61956.166666666664,8246.333333333334
2020-03-04,29930.5502283105,69710,553.0833333333334,61838.958333333336,8197.583333333334
2020-03-05,29811.76712328767,70481,542.5833333333334,62594.5,8146.416666666667
2020-03-06,29952.840182648404,69753,492.6666666666667,62036.916666666664,8129.583333333333
2020-03-07,26945.00228310502,63619,440.0,52639.291666666664,7058.625
2020-03-08,24931.412100456622,58153,359.6666666666667,48659.708333333336,6413.375
2020-03-09,29194.486301369863,70069,480.9583333333333,60207.333333333336,8078.083333333333
2020-03-10,29405.260273972603,72677,446.7083333333333,64327.416666666664,8190.833333333333
2020-03-11,29475.567351598173,73197,440.9583333333333,61979.208333333336,8012.291666666667
2020-03-12,29188.083333333336,73408,438.9583333333333,62386.0,7756.333333333333
2020-03-13,28773.751141552515,73978,467.2083333333333,61541.291666666664,7763.791666666667
2020-03-14,25348.227168949772,67453,442.5416666666667,51643.458333333336,6675.083333333333
2020-03-15,23616.067351598176,61840,382.5416666666667,47656.041666666664,6100.75
2020-03-16,27716.309360730593,72332,478.9583333333333,57867.541666666664,7199.041666666667
2020-03-17,27879.522831050228,72394,474.375,59165.666666666664,7212.583333333333
2020-03-18,27010.558219178078,72926,462.1666666666667,58692.916666666664,6940.0
2020-03-19,25195.512557077625,71328,441.5,57423.5,6815.041666666667
2020-03-20,25658.988584474886,69452,403.1666666666667,56563.708333333336,6550.416666666667
2020-03-21,24344.761415525118,61917,308.625,50698.125,6300.166666666667
2020-03-22,23080.237442922375,56375,268.125,47166.583333333336,5953.833333333333
2020-03-23,25855.284246575346,62561,301.75,56016.75,7096.875
2020-03-24,26168.494292237447,61716,331.5416666666667,56656.833333333336,7212.166666666667
2020-03-25,26244.243150684935,61372,352.2083333333333,56428.458333333336,7308.875
2020-03-26,26081.101598173518,61283,349.25,55956.708333333336,7317.708333333333
2020-03-27,26397.489726027394,60880,351.5416666666667,54249.125,6724.083333333333
2020-03-28,23887.011415525118,58489,302.5,47661.25,5838.333333333333
2020-03-29,22162.939285714285,55382,274.17391304347825,47504.04347826087,5695.565217391304
2020-03-30,24059.100456621003,61587,334.0,55700.708333333336,6990.083333333333
