,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal,Índice da Produção Física Industrial com ajuste sazonal (Média 2012 = 100),Taxa de câmbio,Exportações FOB,Importações FOB
2008-08-31,6512.27238148,48101.57875200999,0.21253805049339958,0.2440882076292541,101.6,1.6115,5345732417,6602093901
2008-09-30,6844.832020600002,54946.41077260999,0.2089155130659841,0.18405635507937768,103.6,1.7988,5521241093,6731803347
2008-10-31,7269.082715140001,62215.49348774999,0.22108785809230147,0.32168007113492125,102.4,2.1721,4974404394,6710116468
2008-11-30,6385.52937431,68601.02286206,0.21332873401906105,0.14258991371545848,98.8,2.2655,4168726734,5522093958
2008-12-31,6611.14560334,75212.1684654,0.2088616236847307,0.16437840461075504,85.9,2.3936,4624887874,4306221588
2009-01-31,5191.41380032,5191.41380032,-0.1253227890458426,-0.1253227890458426,87.8,2.3066,2727176125,4473791122
2009-02-28,6327.81993057,11519.233730889999,0.008434747525143171,0.15310180097121462,88.3,2.3119,2784611006,3354290908
2009-03-31,5958.59619097,17477.82992186,0.04324922132399167,0.1178558606564728,89.0,2.313,3467487208,4106299284
2009-04-30,5881.051131420001,23358.88105328,0.03280271695181969,0.0029559473761411326,90.4,2.2051,3170483778,3379392129
2009-05-31,6020.009364729999,29378.89041801,0.02005223538014489,-0.026577757594439144,91.9,2.0601,3221362445,3522656668
2009-06-30,6205.555926149998,35584.446344159995,0.01218248422506174,-0.023484978162539805,91.9,1.9568,3790930272,4028208373
2009-07-31,6381.83549287,41966.281837029994,0.009064240291516867,-0.007976476051044679,92.7,1.932,3579050425,4261054719
2009-08-31,6467.17894438,48433.460781409995,0.006899607830151311,-0.006924378229055672,93.6,1.8444,3503676784,4282620429
2009-09-30,6793.828729509999,55227.289510919996,0.005111866896500228,-0.007451357598916242,95.4,1.819,4048477935,4930156136
2009-10-31,7153.3841542400005,62380.67366515999,0.0026549685319545713,-0.015916528320557455,97.5,1.7376,3775733726,5059379062
2009-11-30,7121.97154904,69502.64521419999,0.013142987006956819,0.11532985466997059,100.6,1.7254,3732126248,4692659244
2009-12-31,8014.190574740001,77516.83578893999,0.03064221349501728,0.21222418255183673,102.1,1.7495,4193893862,4703504345
2010-01-31,6658.967700300001,6658.967700300001,0.28268867719416635,0.28268867719416635,101.5,1.779,3094143889,4515349157
2010-02-28,7005.850025649998,13664.817725949999,0.1862610000964211,0.10715066207943158,101.7,1.8408,3198720370,4561606507
2010-03-31,7257.408125270001,20922.22585122,0.19707228785033526,0.2179728064587252,102.1,1.785,4325667931,5749030128
2010-04-30,7591.8501078399995,28514.07595906,0.22069528476220035,0.29090020443452924,102.9,1.7558,3699529501,5384783957
2010-05-31,7245.094530220001,35759.17048928,0.21717226146017832,0.20350220261575092,102.2,1.8124,4254288756,5482277152
2010-06-30,7617.72535411,43376.89584339,0.21898470539246917,0.22756533737922946,102.7,1.8057,4422990217,5641082622
2010-07-31,7492.426512350002,50869.32235574,0.21214747003996393,0.17402376177210943,100.9,1.7688,4509328877,6034040777
2010-08-31,7636.652619140001,58505.974974879995,0.20796602247626472,0.1808321193549589,101.6,1.7588,4786076562,6185554557
2010-09-30,7772.59942081,66278.57439569,0.2001055091176409,0.14406761345757313,103.2,1.7179,4863581378,6397611420
2010-10-31,7876.342706310001,74154.91710199999,0.18874825719325283,0.10106524918579729,102.1,1.6827,4866443796,6230419399
2010-11-30,7993.823866920001,82148.74096892,0.18195128711642616,0.12241727053761142,103.6,1.7125,4839353292,6506629237
2010-12-31,8668.48149057,90817.22245949,0.17158061903821542,0.0816415469195686,104.8,1.6926,4886812260,5643150183
2011-01-31,7700.77470752,7700.77470752,0.15645172857244294,0.15645172857244294,105.2,1.6741,3296835111,5708692659
2011-02-28,7729.690687609999,15430.465395129999,0.1292112126623517,0.1033194629216807,106.0,1.6672,4072109382,5786007461
2011-03-31,7902.44069596,23332.90609109,0.1152210217503904,0.08887919206913852,107.3,1.6583,4662836326,7016853070
2011-04-30,8202.22401512,31535.130106210003,0.10594957211615696,0.08039857196991762,101.2,1.5856,4585408871,6920196353
2011-05-31,8292.9066612,39828.036767410005,0.11378525347364499,0.14462366593140685,105.6,1.6127,4923158005,7349597471
2011-06-30,8210.92869053,48038.96545794001,0.10747817527981174,0.07787145228331815,102.9,1.5862,5272726650,7143576095
2011-07-31,8148.322795350001,56187.28825329001,0.10454170905522076,0.08754123673003189,103.5,1.5631,5297511170,7056719391
2011-08-31,8432.10958594,64619.39783923001,0.10449228248866649,0.10416304190743442,103.1,1.5962,6217228005,8021271844
2011-09-30,8788.03085531,73407.42869454001,0.10755895647800151,0.1306424504241568,99.5,1.749,5542849730,7305324293
2011-10-31,8639.41818621,82046.84688075,0.1064249019103436,0.0968819550333524,98.4,1.7719,5144880269,6951032450
2011-11-30,8528.09817129,90574.94505204,0.10257252860768684,0.06683588646241367,99.9,1.7898,5121529111,6969850122
2011-12-31,9514.251530040001,100089.19658208,0.10209488763792418,0.0975684196119091,103.6,1.8362,5195643204,6414989015
2012-01-31,8429.690740490001,8429.690740490001,0.09465489650777559,0.09465489650777559,97.7,1.789,3596645609,6351677940
