,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal
1997-01-31,1931.4450433,1931.4450433,0.09875271317069356,0.09875271317069356
1997-02-28,1808.5469895199997,3739.9920328199996,0.13204221412456651,0.16989580340190047
1997-03-31,1680.13727949,5420.1293123099995,0.10624133576271166,0.052827355844969226
1997-04-30,1872.01975186,7292.149064169999,0.09773169759266742,0.07381560941289766
1997-05-31,1840.18766299,9132.33672716,0.0833082990226004,0.029694894973080643
1997-06-30,1924.4140845499999,11056.75081171,0.08429614836556087,0.08900867016438152
1997-07-31,1957.8315633399998,13014.58237505,0.08247202486217486,0.07228450309306744
1997-08-31,1897.05090733,14911.63328238,0.07680680139972074,0.0394843990296474
1997-09-30,1948.47440568,16860.10768806,0.07507453123045771,0.061999799682166845
1997-10-31,2025.70774908,18885.81543714,0.07588810470552176,0.08270761127329962
1997-11-30,1962.0345251400001,20847.84996228,0.069485405310997,0.011541368137259367
1997-12-31,1931.5726995100001,22779.422661790002,0.06230977522783698,-0.009423924193204258
1998-01-31,1928.2071797300002,1928.2071797300002,-0.001676394356252331,-0.001676394356252331
1998-02-28,1736.5025109,3664.7096906300003,-0.020129011380068507,-0.03983555806814876
1998-03-31,1816.82185742,5481.53154805,0.011328555501534998,0.0813532201199001
1998-04-30,1902.90825408,7384.43980213,0.012656178192169909,0.01650009418400078
1998-05-31,1924.9732943300003,9309.41309646,0.01939003943792028,0.046074448299603166
1998-06-30,2177.8013844800003,11487.214480940002,0.03893220319066115,0.13166984276632543
1998-07-31,1905.2091539399999,13392.42363488,0.02903214632183304,-0.0268779043025682
1998-08-31,1796.6097322300002,15189.033367110002,0.018602930978579346,-0.05294595664876778
1998-09-30,1968.7931699500002,17157.826537060002,0.017658181935032324,0.010428037551208691
1998-10-31,1890.38955981,19048.21609687,0.008599081160701738,-0.06680045003108492
1998-11-30,1881.1274398499997,20929.34353672,0.003908967811426356,-0.04123632089717044
1998-12-31,1901.83275416,22831.17629088,0.002271946478117348,-0.015396751754435445
1999-01-31,1962.64894456,1962.64894456,0.01786206647919575,0.01786206647919575
1999-02-28,1836.33892199,3798.98786655,0.03664087670118166,0.05749281124750949
1999-03-31,1867.2425205600002,5666.23038711,0.03369475071719785,0.027752122715873018
1999-04-30,1997.3397735600001,7663.57016067,0.03779980147708506,0.04962484096515474
1999-05-31,1915.6467858200003,9579.21694649,0.02898183239205432,-0.004845006700857191
1999-06-30,2044.23408329,11623.45102978,0.011859842006610721,-0.06133125919648208
1999-07-31,2076.42932754,13699.88035732,0.022957511711266587,0.0898694892610159
1999-08-31,2178.77344695,15878.653804270001,0.04540252302383441,0.2127138175109673
1999-09-30,2224.33145897,18102.98526324,0.05508615698722119,0.12979438009046396
1999-10-31,2230.78401205,20333.76927529,0.06748942640519706,0.18006577029245352
1999-11-30,2212.92694088,22546.69621617,0.07727679927525655,0.17638331885502545
1999-12-31,2276.98002963,24823.6762458,0.08727101615504207,0.19725566017801333
