,GDP,PRFI,PNFI,TCU,PCDG,H-GFI,H-GDP,Investment share,Housing share,Durables,Year
1957-03-31,469.779,23.101,52.465,,42.597,0.4403125893452778,0.04917418615987517,0.11168017301752527,0.04917418615987517,0.09067455122515056,1957
1957-06-30,472.025,22.61,52.64,,42.17,0.4295212765957447,0.047900005296329644,0.11151951697473651,0.047900005296329644,0.08933848842751974,1957
1957-09-30,479.49,22.464000000000002,54.066,,41.876000000000005,0.4154921762290534,0.04684977788900707,0.11275730463617593,0.04684977788900707,0.08733445952991721,1957
1957-12-31,474.86400000000003,22.349,53.215,,41.467,0.41997557079770736,0.04706400148252973,0.11206366454395364,0.04706400148252973,0.08732394959398901,1957
1958-03-31,467.54,21.37,49.369,,39.396,0.4328627276225972,0.04570731915985798,0.10559310433331907,0.04570731915985798,0.08426230910724215,1958
1958-06-30,471.978,21.469,47.83,,38.635999999999996,0.44886054777336404,0.04548728966180627,0.10133946921254804,0.04548728966180627,0.08185974770010465,1958
1958-09-30,485.841,23.017,47.435,,39.396,0.48523242331611677,0.04737558172323867,0.09763482291531592,0.04737558172323867,0.08108825726935355,1958
1958-12-31,499.555,25.434,49.332,,40.693000000000005,0.5155679883240087,0.05091331284843511,0.09875188918137143,0.05091331284843511,0.08145849806327632,1958
1959-03-31,510.33,28.348000000000003,50.942,,43.648999999999994,0.5564759923049744,0.055548370662120594,0.09982168400838673,0.055548370662120594,0.08553093096623753,1959
1959-06-30,522.653,29.358,52.735,,45.465,0.5567080686451124,0.05617111161707672,0.10089868421304383,0.05617111161707672,0.08698888172458591,1959
1959-09-30,525.034,28.801,54.42100000000001,,46.336000000000006,0.5292258503151356,0.05485549507270005,0.10365233489640673,0.05485549507270005,0.08825333216515503,1959
1959-12-31,528.6,28.006,54.398,,44.103,0.5148351042317733,0.05298146046159667,0.10290957245554294,0.05298146046159667,0.08343359818388195,1959
1960-03-31,542.648,28.954,56.321999999999996,,45.455,0.514079755690494,0.053356872226563073,0.10379103949521604,0.053356872226563073,0.08376516636935914,1960
1960-06-30,541.08,26.684,57.188,,46.434,0.46660138490592434,0.04931618244991498,0.10569231906557255,0.04931618244991498,0.08581725438012862,1960
1960-09-30,545.604,25.892,56.165,,45.922,0.46099884269562896,0.04745566381478141,0.10294096084339557,0.04745566381478141,0.08416727150094207,1960
1960-12-31,540.197,25.893,55.882,,44.69,0.46335134748219464,0.04793251350896062,0.10344744602432075,0.04793251350896062,0.08272907846581895,1960
1961-03-31,545.018,25.914,55.012,,42.24,0.47106085944884757,0.04754705349181128,0.1009361158714024,0.04754705349181128,0.07750202745597393,1961
1961-06-30,555.545,26.118000000000002,56.198,,43.32,0.46474963521833523,0.04701329325257181,0.10115832200811817,0.04701329325257181,0.07797748157214987,1961
1961-09-30,567.664,27.55,56.711999999999996,,44.58,0.48578784031598254,0.048532230333436684,0.09990416866315284,0.048532230333436684,0.07853237126187322,1961
1961-12-31,580.612,28.462,58.473,,46.683,0.48675457048552323,0.049020688514877404,0.10070925161725904,0.049020688514877404,0.08040309190991575,1961
1962-03-31,594.013,29.01,59.656000000000006,,47.702,0.48628805149523935,0.048837315008257394,0.10042877849474675,0.048837315008257394,0.08030463979744551,1962
