,Residential investment,House prices,Mortgage interest rate,General Prices,Inflation,General inflation,Own interest rate,Real mortgage interest rate,$g_{I_h}$
1993-03-31,271.401,1.2012721135212854,0.075,143.3,0.002504075643951831,0.007027406886858767,0.07231484252019715,0.0674982554082344,0.0114410932765876
1993-06-30,278.005,1.2071169594298932,0.07339999999999999,144.3,0.004865546983751079,0.006978367062107527,0.06820261001281702,0.06596133056133047,0.024332998036116216
1993-09-30,290.939,1.2157592048509096,0.0695,145.0,0.007159410157817625,0.00485100485100487,0.06189744067665903,0.06433689655172414,0.046524343087354536
1993-12-31,306.889,1.2241357754578983,0.0713,146.3,0.006889991516055183,0.008965517241379395,0.06396926081960941,0.06178058783321916,0.05482248856289451
1994-03-31,315.598,1.2323873226229918,0.078,147.1,0.006740712370739255,0.005468215994531622,0.07078216541124549,0.07213732154996633,0.02837833874788598
1994-06-30,327.92900000000003,1.241295242858036,0.08460000000000001,147.9,0.007228182302366326,0.005438477226376692,0.07681657350052884,0.07873333333333332,0.03907185723610418
1994-09-30,326.427,1.2490623241857848,0.0882,149.3,0.006257239260714087,0.009465855307640325,0.08143321363778555,0.07799584728734099,-0.004580259751348681
1994-12-31,325.435,1.2549696818153404,0.09179999999999999,150.1,0.00472943384422897,0.005358338914936311,0.08666071006064535,0.08598094603597617,-0.00303896430135997
1995-03-31,321.78700000000003,1.2597830843283115,0.08380000000000001,151.2,0.00383547314546151,0.007328447701532292,0.07965899691109168,0.07591521164021175,-0.01120961175042623
1995-06-30,313.45099999999996,1.2627055072826154,0.0753,152.4,0.0023197826599348215,0.00793650793650813,0.07281131092353754,0.06683307086614154,-0.025905334895443444
1995-09-30,326.393,1.2708789147965243,0.0762,153.1,0.0064729324983290315,0.0045931758530182165,0.06927863159577496,0.0712794252122797,0.04128875007576949
1995-12-31,334.645,1.2776614365193473,0.0711,153.9,0.0053368748539737165,0.0052253429131288165,0.06541401871445163,0.0655322287199478,0.02528240495353762
1996-03-31,344.725,1.2848190285678565,0.07690000000000001,155.5,0.005602103846859663,0.010396361273554255,0.0709007030518285,0.0658193569131833,0.03012147200764992
1996-06-30,361.399,1.2935706695005313,0.08289999999999999,156.7,0.006811574811769416,0.007717041800642921,0.0755736496200452,0.07460721123165293,0.048368989774457916
1996-09-30,364.315,1.3014940301306495,0.0816,157.7,0.006125185748976136,0.0063816209317166805,0.07501533141210359,0.07474140773620785,0.008068644351533871
1996-12-31,361.806,1.308729761830343,0.0764,159.1,0.005559558117194996,0.00887761572606216,0.0704487778082945,0.06692822124450037,-0.006886897327861963
1997-03-31,365.35900000000004,1.3201381509032943,0.0797,159.8,0.008717146507767781,0.004399748585795171,0.07036943283652763,0.07497040050062553,0.009820179875402957
1997-06-30,372.277,1.330061886603738,0.0758,160.2,0.007517194843322583,0.0025031289111387967,0.06777333975654476,0.0731138576779029,0.01893480111342538
1997-09-30,378.952,1.3420797649559295,0.0728,161.2,0.009035578324012361,0.006242197253433224,0.06319343246736553,0.06614491315136473,0.01793019713815247
1997-12-31,385.754,1.3614583984497095,0.0699,161.8,0.01443925614541719,0.0037220843672458592,0.05467133050954476,0.06593250927070438,0.01794950283940988
1998-03-31,394.846,1.3826186159904983,0.0708,162.0,0.015542316654613808,0.0012360939431395046,0.05441199489098136,0.06947802469135822,0.02356942507401083
1998-06-30,411.33,1.4044820903919486,0.0696,162.8,0.01581309129545283,0.004938271604938427,0.05294961166128842,0.06434398034398003,0.041747921974643276
1998-09-30,427.55,1.4265643558167156,0.0664,163.5,0.015722710581951516,0.004299754299754266,0.04989283875420414,0.061834373088685,0.03943305861473756
1998-12-31,441.50300000000004,1.4492092267300118,0.0683,164.4,0.015873711424909454,0.005504587155963359,0.0516070924815597,0.06245164233576639,0.03263477955794647
1999-03-31,447.36300000000006,1.4728074013877603,0.0698,164.8,0.01628348358711129,0.0024330900243310083,0.05265904373846064,0.06720339805825248,0.013272842993139466
